"Class","Aerosol","B","G","R","NIR","SWIR1","SWIR2","Cirrus","energy","entropy","corr","invDiffM","inertia","clusShade","clusProm","hCorr","mean","variance","dissim","sumAvg","sumVar","sumEntr","diffEntr","diffVar","IC1","IC2","SRE","LRE","GLNU","RLNU","RP","LGRE","HGLRE","SRLGLE","SRHGLE","LRLGLE","LRHGLE"
"4",0.91964,0.31948,11.87394,0.97934,0.04132,0.23794,0.64532,426.9505,10575,9655,8632,7862,7372,6009,5635,5050,1,1,38.05,40,0.02029,49.375,0.02029,49.375,0.02029,49.375,0,6.02893,0.03635,0,12.05785,0.10409,0.27815,0.17401,0.02023,-1.11736,0.3532
"4",0.25746,2.53319,1.0485,0.79835,0.46281,0.25139,3.67272,961.42474,10389,9514,8486,7703,7452,6037,5639,5063,1,1,28.77465,71,0.02009,51.95774,0.02009,51.95774,0.02009,51.95774,0,6.04132,0.39499,0,12.08264,1.11714,2.06103,0.95954,0.18872,-0.69166,0.85322
"4",0.82853,0.62077,-0.00827,0.95455,0.09091,0.00601,0.09067,603.88983,10839,10184,10308,9335,8293,6399,5832,5050,1,1,35.13636,44,0.01617,62.29546,0.01617,62.29546,0.01617,62.29546,0,7.00413,0.04544,0,14.00826,0.09084,0.52986,0.3277,0.04339,-0.87094,0.56021
"4",1,0,0,1,0,0,0,399.88889,10388,9529,8765,8118,7298,5891,5511,5059,1,1,40,40,0.02041,49,0.02041,49,0.02041,49,0,6,0,0,12,0,0,0,0,0,0
"4",0.95134,0.19236,-1.02526,0.9876,0.02479,0.02298,0.02242,412.77194,10381,9520,8746,8110,7695,6164,5633,5070,1,1,40,40,0.02041,49,0.02041,49,0.02041,49,0,6.0124,0.01224,0,12.02479,0.02418,0.16757,0.11384,0.01224,-0.88203,0.33328
"4",1,0,0,1,0,0,0,399.88889,10858,10050,9466,8522,9036,6530,5858,5056,1,1,40,40,0.02041,49,0.02041,49,0.02041,49,0,6,0,0,12,0,0,0,0,0,0
"4",0.87433,0.41737,-1.06954,0.96694,0.06612,0.05358,0.05031,435.21112,10555,9628,8597,7826,7330,5982,5619,5043,1,1,40,40,0.02041,49,0.02041,49,0.02041,49,0,6.03306,0.03197,0,12.06612,0.06174,0.35126,0.25477,0.03197,-0.87416,0.47352
"4",0.93532,0.27562,19.75086,0.99174,0.01653,0.33471,0.84982,431.70944,10867,10103,9571,8661,7429,5945,5575,5046,1,1,34.45,40,0.02005,50.125,0.02005,50.125,0.02005,50.125,0,6.03306,0.04023,0,12.06612,0.14439,0.25909,0.08083,0.0082,0.07058,0.13999
"4",0.71863,0.92758,-0.5096,0.91074,0.29752,0.38402,0.82291,493.65967,10680,9906,9327,8198,8544,5974,5603,5074,1,1,32.84,50,0.01936,52.3,0.01936,52.3,0.01936,52.3,0,6.09917,0.13892,0,12.19835,0.25818,0.77055,0.56766,0.13892,-0.85564,0.65406
"4",0.48856,1.38291,3.36111,0.93388,0.13223,-0.54095,0.989,901.60754,10928,10357,10661,9623,7518,6014,5657,5048,1,1,29.11539,52,0.01719,59.09615,0.01719,59.09615,0.01719,59.09615,0,6.72727,0.19835,0,13.45455,0.66116,1.25068,0.43666,0.06174,-0.3601,0.58674
"4",1,0,0,1,0,0,0,399.88889,10833,9913,8809,7970,8006,5977,5582,5043,1,1,40,40,0.02041,49,0.02041,49,0.02041,49,0,6,0,0,12,0,0,0,0,0,0
"4",1,0,0,1,0,0,0,399.88889,10860,10097,9640,8699,7365,5908,5545,5052,1,1,40,40,0.02041,49,0.02041,49,0.02041,49,0,6,0,0,12,0,0,0,0,0,0
"4",0.77512,0.66462,-1.13653,0.93802,0.12397,-0.08167,0.07322,614.02563,10872,10221,10397,9379,7633,6073,5665,5051,1,1,34,50,0.01658,61,0.01658,61,0.01658,61,0,6.93802,0.05814,0,13.87603,0.1086,0.54066,0.41595,0.05814,-0.85994,0.57399
"4",0.96735,0.13801,-7e-05,0.99174,0.01653,0.01572,0.01546,408.42984,10705,9927,9369,8230,8812,5992,5598,5058,1,1,38.19048,42,0.02018,49.71429,0.02018,49.71429,0.02018,49.71429,0,6.00826,0.0082,0,12.01653,0.01626,0.12148,0.08083,0.0082,-0.88331,0.28686
"4",0.71815,0.91473,-0.57611,0.90909,0.28099,0.29469,0.48447,493.81641,10662,9823,9086,8053,7768,5981,5632,5062,1,1,31.86792,53,0.01893,54.28302,0.01893,54.28302,0.01893,54.28302,0,6.09917,0.13066,0,12.19835,0.24165,0.75771,0.56124,0.13066,-0.85523,0.64953
"4",0.95134,0.19236,-1.02526,0.9876,0.02479,0.02298,0.02242,412.77194,10613,9660,8590,7850,7389,6042,5669,5041,1,1,37.41861,43,0.02007,50.04651,0.02007,50.04651,0.02007,50.04651,0,6.0124,0.01224,0,12.02479,0.02418,0.16757,0.11384,0.01224,-0.88203,0.33328
"4",0.73451,0.80154,-0.94857,0.92314,0.17355,0.1326,0.16681,484.84952,10574,9612,8565,7816,7311,5993,5631,5062,1,1,36.11111,45,0.01988,50.66667,0.01988,50.66667,0.01988,50.66667,0,6.07851,0.08061,0,12.15702,0.1489,0.65278,0.49967,0.08061,-0.85465,0.61759
