"Class","Aerosol","B","G","R","NIR","SWIR1","SWIR2","Cirrus","energy","entropy","corr","invDiffM","inertia","clusShade","clusProm","hCorr","mean","variance","dissim","sumAvg","sumVar","sumEntr","diffEntr","diffVar","IC1","IC2","SRE","LRE","GLNU","RLNU","RP","LGRE","HGLRE","SRLGLE","SRHGLE","LRLGLE","LRHGLE"
"1",0.22905,2.44293,0.70519,0.7595,0.52066,-0.29239,2.41568,1556.37085,11802,11217,10849,10862,12913,13866,14133,5055,1,1,36.975,80,0.01354,75.4125,0.01354,75.4125,0.01354,75.4125,0,7.64876,0.34357,0,15.29752,0.85363,1.89311,1.02899,0.20089,-0.77998,0.86377
"1",0.32037,2.01172,-0.61137,0.74463,0.66942,-0.17636,0.53788,1229.63452,12198,11749,11555,11932,13309,13400,12323,5056,1,1,34.575,80,0.0143,71.5875,0.0143,71.5875,0.0143,71.5875,0,7.69835,0.28504,0,15.39669,0.47073,1.43738,1.11516,0.26257,-0.8248,0.8314
"1",0.10464,3.55871,-0.04802,0.56446,1.54545,0.67557,6.08681,2476.59497,13768,13843,14591,15427,17780,18208,14896,5049,1,1,32.33981,103,0.01496,69.80582,0.01496,69.80582,0.01496,69.80582,0,7.34298,0.746,0,14.68595,1.43856,2.25464,1.41842,0.53092,-0.85164,0.93842
"1",0.25637,2.40838,0.21196,0.75207,0.59504,-0.18029,1.2204,1527.75854,14001,13887,13909,14734,18520,24596,23431,5051,1,1,32.7,80,0.01284,79.65,0.01284,79.65,0.01284,79.65,0,7.8595,0.3191,0,15.71901,0.68137,1.73315,1.07834,0.23188,-0.84979,0.87304
"1",0.20982,2.534,0.73147,0.77273,0.55372,-0.08155,1.86979,1785.95691,14906,15343,16220,17035,20853,32195,36455,5068,1,1,30.49296,71,0.01306,78.14085,0.01306,78.14085,0.01306,78.14085,0,7.71488,0.38565,0,15.42975,0.98887,1.91569,1.03691,0.22138,-0.75093,0.86561
"1",0.11218,3.46427,-0.26757,0.55041,1.65289,0.24516,3.92431,2310.6958,11086,10310,9721,9171,16625,12369,9830,5062,1,1,33.79208,101,0.01522,68.36633,0.01522,68.36633,0.01522,68.36633,0,7.29752,0.69661,0,14.59504,1.13353,2.10886,1.44262,0.5639,-0.84221,0.93363
"1",0.2033,2.56015,0.64534,0.75455,0.57025,-0.42172,2.16967,1626.6228,12421,12071,12136,12837,14864,14946,13649,5066,1,1,33.975,80,0.01443,70.975,0.01443,70.975,0.01443,70.975,0,7.42562,0.3767,0,14.85124,0.93655,1.90857,1.06368,0.22159,-0.79583,0.87606
"1",0.52022,1.31209,0.21989,0.86364,0.27273,-0.20335,0.31298,991.20355,12204,11772,11613,11923,13598,13698,12532,5066,1,1,33.96552,58,0.01331,76.01724,0.01331,76.01724,0.01331,76.01724,0,7.83058,0.14072,0,15.66116,0.29014,1.03936,0.72611,0.11777,-0.88392,0.74337
"1",0.7104,0.8121,-1.1883,0.91736,0.16529,-0.09236,0.08086,837.38794,12415,12275,12233,12934,14493,15035,13693,5056,1,1,36.17647,51,0.01292,78,0.01292,78,0.01292,78,0,7.91736,0.07581,0,15.83471,0.13797,0.64681,0.51484,0.07581,-0.84767,0.61917
"1",0.8009,0.67439,1.89212,0.95041,0.09917,-0.11137,0.17991,799.50806,12225,11783,11558,11976,13534,14661,13610,5044,1,1,30.34783,46,0.01306,77.30434,0.01306,77.30434,0.01306,77.30434,0,7.95041,0.05539,0,15.90083,0.1224,0.57521,0.35064,0.04713,-0.85879,0.5774
"1",0.24742,2.28441,-0.24776,0.73554,0.6281,-0.0702,0.73841,1493.03076,12101,11730,11783,12593,15072,15138,12925,5067,1,1,37.89157,83,0.01336,76.22891,0.01336,76.22891,0.01336,76.22891,0,7.67769,0.29281,0,15.35537,0.54313,1.58647,1.10606,0.23967,-0.87321,0.86635
"2",0.87433,0.41737,-1.06954,0.96694,0.06612,0.05358,0.05031,435.21112,10821,10004,9450,9304,12248,14521,11572,5039,1,1,38.19048,42,0.02018,49.71429,0.02018,49.71429,0.02018,49.71429,0,6.03306,0.03197,0,12.06612,0.06174,0.35126,0.25477,0.03197,-0.87416,0.47352
"2",0.14128,3.03212,-0.10291,0.63719,1.08264,0.00913,2.3596,1708.68677,10663,9836,9086,8817,13744,12499,9470,5055,1,1,30.40909,88,0.01606,64.59091,0.01606,64.59091,0.01606,64.59091,0,6.89669,0.51412,0,13.79339,0.97384,2.00834,1.30598,0.38722,-0.85686,0.91542
"2",0.33403,2.12893,0.499,0.78017,0.57851,1.07361,3.34637,868.05951,10654,9805,9252,8333,17192,11780,8160,5040,1,1,29.30303,66,0.01801,57.13636,0.01801,57.13636,0.01801,57.13636,0,6.34711,0.35059,0,12.69421,0.82385,1.61699,1.03199,0.23571,-0.84991,0.848
"2",1,0,0,1,0,0,0,399.88889,10748,9908,9054,8838,11388,13161,10552,5058,1,1,40,40,0.02041,49,0.02041,49,0.02041,49,0,6,0,0,12,0,0,0,0,0,0
